Year,BottomBracketTaxableIncome,TopBracketRate,TopBracketTaxableIncomeOver
2020,19400,37,622050
2019,19400,37,612350
2018,19050,37,600000
2017,18650,39.6,470700
2016,18550,39.6,466950
2015,18450,39.6,464850
2014,18150,39.6,457600
2013,17850,39.6,450000
2012,17400,35,388350
2011,17000,35,379150
2010,16750,35,373650
2009,16700,35,372950
2008,16050,35,357700
2007,15650,35,349700
2006,15100,35,336550
2005,14600,35,326450
2004,14300,35,319100
2003,14000,35,311950
2002,12000,38.6,307050
2001,45200,39.1,297350
2000,43850,39.6,288350
1999,43050,39.6,283150
1998,42350,39.6,278450
1997,41200,39.6,271050
1996,40100,39.6,263750
1995,39000,39.6,256500
1994,38000,39.6,250000
1993,36900,39.6,250000
1992,35800,31,86500
1991,34000,31,82150
1990,32450,28,32450
1989,30950,28,30950
1988,29750,28,29750
1987,3000,38,90000
1986,2270,50,171580
1985,2180,50,165450
1984,2100,50,159000
1983,2100,50,106000
1982,2100,50,106000
1981,2100,69,212000
1980,2100,70,212000
1979,2100,70,212000
1978,1000,70,200000
1977,1000,70,200000
1976,1000,70,200000
1975,1000,70,200000
1974,1000,70,200000
1973,1000,70,200000
1972,1000,70,200000
1971,1000,70,200000
1970,1000,71,200000
1969,1000,77,200000
1968,1000,75,200000
1967,1000,70,200000
1966,1000,70,200000
1965,1000,70,200000
1964,1000,77,400000
1963,4000,91,400000
1962,4000,91,400000
1961,4000,91,400000
1960,4000,91,400000
1959,4000,91,400000
1958,4000,91,400000
1957,4000,91,400000
1956,4000,91,400000
1955,4000,91,400000
1954,4000,91,400000
1953,4000,91,400000
1952,4000,91,400000
1951,4000,91,400000
1950,4000,91,400000
1949,4000,82,400000
1948,4000,82,400000
1947,2000,86.45 ,200000
1946,2000,86.45 ,200000
1945,2000,94 ,200000
1944,2000,94,200000
1943,2000,88,200000
1942,2000,88,200000
1941,2000,81,5000000
1940,4000,81.1,5000000
1939,4000,79,5000000
1938,4000,79,5000000
1937,4000,79,5000000
1937,4000,79,5000000
1936,4000,63,1000000
1935,4000,63,1000000
1934,4000,63,1000000
1933,4000,63,1000000
1932,4000,63,1000000
1931,4000,25,100000
1930,4000,25,100000
1929,4000,24,100000
1928,4000,25,100000
1927,4000,25,100000
1926,4000,25,100000
1925,4000,25,100000
1924,4000,46,500000
1923,4000,56,200000
1922,4000,56,200000
1921,4000,73,1000000
1920,4000,73,1000000
1919,4000,73,1000000
1918,4000,77,1000000
1917,2000,67,2000000
1916,20000,15,2000000
1915,20000,7,500000
1914,20000,7,500000
1913,20000,7,500000
